cost	sales	
3392	339000	
4100	899900	
3200	448641	
1436	239999	
1944	377500	
1500	299900	
1700	265000	
2507	449000	
1580	439950	
1500	699888	
2705	1250000	
1715	439000	
2951	779900	
1100	150000	
1700	229500	
3134	700000	
2640	849000	
1076	89900	
3012	639000	
2454	379000	
3134	639999	
1067	569000	
825	    799000	
1446	330000	
2652	635000	
1000	375000	
1992	499950	
893	    179000	
989	    180000	
1117	240000	
2203	408000	
1230	349900	
1686	378000	
1966	439000	
1170	225000	
2846	1250000	
2600	899000	
2150	999000	
2582	1099000	
1561	650000	
1424	134900	
1235	199950	
3750	1250000	
2000	898000	
1400	252900	
1800	286900	
1800	359000	
1000	379000	
3160	769000	
1122	184900	
1743	235000	
3800	650000	
756		52000	
1561	205000	
1400	209900	
2424	287500	
1307	245000	
1776	329999	
2721	445990	
3766	792000	
3000	474900	
3854	639000	
2800	839000	
3800	949750	
1492	469900	
1512	349000	
1597	399000	
1124	150000	
2100	284900	
1828	285000	
3385	565000	
1680	139900	
3390	312500	
3694	799000	
1735	525000	
3800	1150000	
1500	429000	
959		229000	
4400	799000	
1600	460000	
1347	215000	
2154	325000	
2669	699000	
